,pp_idiosyncratic_residual
2015-05-01,-0.025787451297362818
2015-06-01,-0.03324547329936667
2015-07-01,-0.055748909873788666
2015-08-01,-0.010261950039159723
2015-09-01,-0.06012842558483144
2015-10-01,-0.04192048808113084
2015-11-01,-0.09205111363343153
2015-12-01,-0.029984105901611643
2016-01-01,-0.03365394725691367
2016-02-01,0.03581141967417763
2016-03-01,0.135677728964991
2016-04-01,-0.023769423622087248
2016-05-01,-0.0490062818768768
2016-06-01,0.10087024784361535
2016-07-01,0.1247012466348851
2016-08-01,-0.007928680805167383
2016-09-01,-0.022093336981059693
2016-10-01,0.021384182112289957
2016-11-01,0.0464244541756551
2016-12-01,0.026706505501378805
2017-01-01,0.0008259006829154428
2017-02-01,0.026496427149032744
2017-03-01,-0.03984308351181726
2017-04-01,-0.08256101717253565
2017-05-01,-0.018089311476551427
2017-06-01,-0.00820238252513296
2017-07-01,0.013066786903943828
2017-08-01,0.11175046285590809
2017-09-01,0.0009425333420203642
2017-10-01,-0.016798697331519737
2017-11-01,0.01291660488470027
2017-12-01,0.03487648629346657
2018-01-01,0.019491939885138372
2018-02-01,-0.04436362411354076
2018-03-01,0.004984915902398274
2018-04-01,0.010674620066112393
2018-05-01,0.05154294316047209
2018-06-01,0.020096660336144562
2018-07-01,-0.037956521020111746
2018-08-01,0.06455440567958634
2018-09-01,0.029152073741772713
2018-10-01,0.013865315618268627
2018-11-01,0.02349123748745186
2018-12-01,-0.03277154923444768
2019-01-01,-0.0679760338332285
2019-02-01,-0.016084523967965232
2019-03-01,-0.0155650324712622
2019-04-01,-0.01846824282026899
2019-05-01,-0.026615259233022992
2019-06-01,-0.02418107310903058
2019-07-01,0.02361304746722653
2019-08-01,0.012555109411506352
2019-09-01,0.0029899404209654673
2019-10-01,-0.007143929750147347
2019-11-01,-0.03343224017214487
2019-12-01,-0.03141760698263516
2020-01-01,-0.05272309772173099
2020-02-01,-0.12106855662328782
2020-03-01,0.03525969584397386
2020-04-01,0.12091994344423973
2020-05-01,-0.024400687459366553
2020-06-01,0.019852279532723744
2020-07-01,0.029088813905069687
2020-08-01,0.00586351854086594
2020-09-01,0.03368388819034443
2020-10-01,0.008628327822529223
2020-11-01,0.03842219681253321
2020-12-01,-0.013210698971614785
2021-01-01,-0.011543822788819501
2021-02-01,0.0774974927195153
2021-03-01,0.02132250835611911
2021-04-01,-0.04533685670029123
2021-05-01,-0.018965125609426804
2021-06-01,-0.021477244368066667
2021-07-01,0.01608070123005933
2021-08-01,-0.009877968334042276
2021-09-01,0.08422177533351706
2021-10-01,-0.007452223421669356
2021-11-01,-0.08389461686639064
2021-12-01,-0.018714466460356592
2022-01-01,0.014501366197318382
2022-02-01,0.01306141766101532
2022-03-01,0.03421261080268579
2022-04-01,-0.008259678450323386
2022-05-01,-0.0032803414908413858
2022-06-01,-0.02380274136624478
2022-07-01,-0.049422251878310314
2022-08-01,-0.0016080379802461513
2022-09-01,0.03095749757620232
2022-10-01,-0.03232247650048294
2022-11-01,-0.011373972203627236
2022-12-01,0.01139220331148343
2023-01-01,0.010799595830898748
2023-02-01,-0.002748393818540316
2023-03-01,-0.017900724349415916
2023-04-01,-0.014801575198968756
2023-05-01,-0.05368387059213471
2023-06-01,0.0007845233228685445
2023-07-01,0.016093545895507537
2023-08-01,0.049295476184598445
2023-09-01,0.037441639372630155
2023-10-01,-0.03646918814243665
2023-11-01,0.007194533266350698
2023-12-01,-0.007754073400423589
2024-01-01,-0.027683442139655318
2024-02-01,0.013274069184989823
2024-03-01,0.011722486971659955
2024-04-01,0.016119729727324922
2024-05-01,0.011723408350358072
2024-06-01,0.008070279412781581
2024-07-01,-0.006233847331775
2024-08-01,0.0008397488234018428
2024-09-01,-0.008351333132282635
2024-10-01,0.0021729119272419885
2024-11-01,-0.0006959940814476092
2024-12-01,-0.00041494753712682754
2025-01-01,-0.016855257235207796
2025-02-01,0.011454732298092947
2025-03-01,-0.002038884912207579
