model_name,N,MAE,RMSE,MAPE,Directional_Accuracy
A_baseline,24,0.015783428300871014,0.02094976414878838,0.7351717392056284,0.4583333333333333
B_sentiment_hybrid,24,0.018708290631085492,0.022891723401370564,0.5580534847270172,0.375
C_sentiment_sections,24,0.02935850449238445,0.03476791071074735,-0.0832980917787071,0.375
