model,MAE,RMSE,MAPE
Naive,120.57916666666665,171.89102046548751,1.619290888258754
SeasonalNaive,424.875,603.1630614933244,5.770927053841397
HoltWinters,114.16187047994087,148.72336414966998,1.5318617848692762
CrudeLagOLS,0.01534985256971739,0.02155753344044264,-2.2093903230717986
