date,PP,PGP,CRUDE,ret_PP,ret_PGP,ret_CRUDE,resid_PP,score_demand,score_overall,score_price_outlook,score_supply,index_demand,index_overall,index_price_outlook,index_supply,index_hybrid
2015-08-31,8041.0,8041.0,42.88904771350679,-0.0201598012857644,-0.0201598012857644,-0.1718356481975744,-0.0102619500391597,,,,,,,,,
2015-09-30,7634.75,7634.75,45.46523829868862,-0.0518432593738822,-0.0518432593738822,0.0583315452433548,-0.0601284255848314,,,,,,,,,
2015-10-31,7296.75,7296.75,46.289545405994765,-0.0452811506506201,-0.0452811506506201,0.0179680938990713,-0.0419204880811308,,,,,,,,,
2015-11-30,6570.2,6570.2,42.92300014495849,-0.1048847701080166,-0.1048847701080166,-0.0755083182481985,-0.0920511136334315,,,,,,,,,
2015-12-31,6312.5,6312.5,37.32727258855646,-0.0400124788320148,-0.0400124788320148,-0.1396835881104032,-0.0299841059016116,,,,,,,,,
2016-01-31,6043.6,6043.6,31.7757894616378,-0.0435319337179294,-0.0435319337179294,-0.1610195659331781,-0.0336539472569136,,,,,,,,,
2016-02-29,6256.0,6256.0,30.616499996185304,0.0345411423594601,0.0345411423594601,-0.0371655829415931,0.0358114196741776,,,,,,,,,
2016-03-31,7265.5,7265.5,37.96090906316584,0.1495961145356048,0.1495961145356048,0.2150178421827369,0.135677728964991,,,,,,,,,
2016-04-30,7067.25,7067.25,41.12476185389927,-0.0276656810057769,-0.0276656810057769,0.0800534969039148,-0.0237694236220872,,,,,,,,,
2016-05-31,6743.6,6743.6,46.7966666448684,-0.0468775298133277,-0.0468775298133277,0.1292015565678164,-0.0490062818768768,,,,,,,,,
2016-06-30,7473.5,7473.5,48.85318166559393,0.1027695232842216,0.1027695232842216,0.0430075328504231,0.1008702478436153,,,,,,,,,
2016-07-31,8385.0,8385.0,44.799499702453616,0.1150809650314403,0.1150809650314403,-0.0866225356977272,0.1247012466348851,,,,,,,,,
2016-08-31,8335.25,8335.25,44.79913081293521,-0.0059508855210257,-0.0059508855210257,-8.234266891893327e-06,-0.0079286808051673,,,,,,,,,
2016-09-30,8158.25,8158.25,45.22571436564128,-0.0214638245624456,-0.0214638245624456,0.0094770892338238,-0.0220933369810596,,,,,,,,,
2016-10-31,8360.25,8360.25,49.86949996948242,0.024458645764005,0.024458645764005,0.0977437658584752,0.0213841821122899,,,,,,,,,
2016-11-30,8664.0,8664.0,45.88199977874756,0.0356881787429834,0.0356881787429834,-0.0833367143601075,0.0464244541756551,,,,,,,,,
